"ITEM_ID","ITEM_01_CD","ITEM_01_DSC","ITEM_02_CD","ITEM_02_DSC","ITEM_03_CD","ITEM_03_DSC","ITEM_TYPE_CD","ITEM_TYPE_DSC","BRAND_FAMILY_CD","BRAND_FAMILY_DSC","BRAND_CD","BRAND_DSC","SUB_BRAND_CD","SUB_BRAND_DSC","ITEM_PACK_TYPE_CD","ITEM_PACK_TYPE_DSC","GL_CLASS_CD","GL_CLASS_DSC","ITEM_SIZE_CD","ITEM_SIZE_DSC","MASTER_SKU_CD","MASTER_SKU_DSC","BEV_SEG_CD","MASTER_PKG_CD","MASTER_PKG_DSC","BEV_SEG_DSC","ALC_CONTENT_CD","ALC_CONTENT_DSC","BRAND_OWNER_CD","BRAND_OWNER_DSC","ITEM_PACK_CD","ITEM_PACK_DSC","ALCOHOL_PERCENT_LABEL_CD","ALCOHOL_PERCENT_LABEL_DSC","BEER_PROFILE_CD","BEER_PROFILE_DSC","ABV","IBU","BEER_PACKAGE_CD","BEER_PACKAGE_DSC","PACKAGE_FORMAT_CD","PACKAGE_FORMAT_DSC","BEER_STYLE_CD","BEER_STYLE_DSC","CASE_PACK_CD","CASE_PACK_DSC","STOCK_TYPE_CD","STOCK_TYPE_DSC","CONTAINER_ID_CD","CONTAINER_ID_DSC","COUNTRY_CD","COUNTRY_DSC","COMPONENT_SUB_TYPE_CD","COMPONENT_SUB_TYPE_DSC","UOM_PRIM_CD","UOM_PRIM_DSC"
19586,"154667","CORONA EX 18PK NDP BT SOCCER","154667","NDP SOCCER BT","154667","CORONA EXTRA 18PK BT NDP SOCR","102","FINISHED GOODS - CASE","736","CORONA FAMILY","228","CORONA EXTRA","1231","CORONA EXTRA BT","108","12/18 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013442","CORONA EX 18PK BT","101","228-556-100","CORONA EXTRA 12OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","140","18 PACK (BEER)","146","> 3.2%","102","REGULAR",4.6,18,"267","18/12B","103","MULTI-PACK","122","OTHER PALE LAGERS","100","1 PACK","O","OBSOLETE","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
19460,"154545","CORONA EX 6PK MI CAN","154545","MI CAN","154545","CORONA EXTRA 6PK CAN MI","102","FINISHED GOODS - CASE","736","CORONA FAMILY","228","CORONA EXTRA","1228","CORONA EXTRA CAN","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013458","CORONA EX 6PK CAN","101","228-556-101","CORONA EXTRA 12OZ CAN","BEER","146","> 3.2%","101","CROWN IMPORTS","138","6 PACK (BEER)","146","> 3.2%","102","REGULAR",4.6,18,"295","24/12C","103","MULTI-PACK","122","OTHER PALE LAGERS","100","1 PACK","O","OBSOLETE","101","CAN(S)","225","MEXICO","259","CAN","CA","CASE"
19461,"154546","CORONA EX 12PK MI CAN","154546","MI CAN","154546","CORONA EXTRA 12PK CAN MI","102","FINISHED GOODS - CASE","736","CORONA FAMILY","228","CORONA EXTRA","1228","CORONA EXTRA CAN","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013437","CORONA EX 12PK CAN","101","228-556-101","CORONA EXTRA 12OZ CAN","BEER","146","> 3.2%","101","CROWN IMPORTS","139","12 PACK (BEER)","146","> 3.2%","102","REGULAR",4.6,18,"295","24/12C","103","MULTI-PACK","122","OTHER PALE LAGERS","100","1 PACK","S","STOCK END-ITEM","101","CAN(S)","225","MEXICO","259","CAN","CA","CASE"
20587,"155660","VICTORIA 6PK DEP BT","155660","DEP BT","155660","VICTORIA 6PK BT DEP","102","FINISHED GOODS - CASE","286","OTHER FAMILY","678","VICTORIA","1976","VICTORIA BT","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80014010","VICTORIA 6PK BT","101","678-556-100","VICTORIA 12OZ BT","BEER","103","3.2%","101","CROWN IMPORTS","138","6 PACK (BEER)","103","3.2%","102","REGULAR",4,18,"373","6/12B","103","MULTI-PACK","122","OTHER PALE LAGERS","103","4 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
20588,"155661","VICTORIA 6PK NDP BT","155661","NDP BT","155661","VICTORIA 6PK BT NDP","102","FINISHED GOODS - CASE","286","OTHER FAMILY","678","VICTORIA","1976","VICTORIA BT","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80014010","VICTORIA 6PK BT","101","678-556-100","VICTORIA 12OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","138","6 PACK (BEER)","146","> 3.2%","102","REGULAR",4,18,"373","6/12B","103","MULTI-PACK","122","OTHER PALE LAGERS","103","4 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
20747,"155818","VICTORIA 1/4 BL KEG FAULTY","155818","FAULTY KEG","155818","VICTORIA ¼ BL FAULTY","105","FINISHED GOODS - OTHER","286","OTHER FAMILY","678","VICTORIA","2027","VICTORIA KEG","199","1/4 BL (BEER)","1004","FG -  BEER - MODELO - KEG","166","1/4 BL (BEER)","80014009","VICTORIA 1/4 BL KEG","101","678-102","VICTORIA KEG","BEER","146","> 3.2%","101","CROWN IMPORTS","142","1 PACK (BEER)","146","> 3.2%","","",,,"","","","","","","","","S","STOCK END-ITEM","102","KEG","225","MEXICO","260","KEG","BL","BARRELS"
20748,"155819","VICTORIA 1/4 BL KEG","155819","KEG","155819","VICTORIA ¼ BL UNSALEABLE","102","FINISHED GOODS - CASE","286","OTHER FAMILY","678","VICTORIA","2027","VICTORIA KEG","199","1/4 BL (BEER)","1004","FG -  BEER - MODELO - KEG","166","1/4 BL (BEER)","999","NOT APPLICABLE","101","678-102","VICTORIA KEG","BEER","146","> 3.2%","101","CROWN IMPORTS","142","1 PACK (BEER)","146","> 3.2%","","",,,"","","","","","","","","O","OBSOLETE","102","KEG","225","MEXICO","260","KEG","BL","BARRELS"
20749,"155820","PACIFICO 50/1 KEG","155820","KEG","155820","PACIFICO ½ BL UNSALEABLE","102","FINISHED GOODS - CASE","738","PACIFICO FAMILY","471","PACIFICO","2028","PACIFICO KEG","226","50/1","1004","FG -  BEER - MODELO - KEG","178","1/2 BL (BEER)","999","NOT APPLICABLE","101","471-102","PACIFICO KEG","BEER","146","> 3.2%","101","CROWN IMPORTS","142","1 PACK (BEER)","146","> 3.2%","","",,,"","","","","","","","","O","OBSOLETE","102","KEG","225","MEXICO","260","KEG","BL","BARRELS"
21722,"156787","VICTORIA 12PK DEP BT","156787","DEP BT","156787","VICTORIA 12PK BT DEP","102","FINISHED GOODS - CASE","286","OTHER FAMILY","678","VICTORIA","1976","VICTORIA BT","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80014011","VICTORIA 12PK BT","101","678-556-100","VICTORIA 12OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","139","12 PACK (BEER)","146","> 3.2%","102","REGULAR",4,18,"221","12/12B","103","MULTI-PACK","122","OTHER PALE LAGERS","101","2 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
21723,"156788","VICTORIA 24PK DEP BT","156788","DEP BT","156788","VICTORIA 24LSE BT DEP","102","FINISHED GOODS - CASE","286","OTHER FAMILY","678","VICTORIA","1976","VICTORIA BT","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013994","VICTORIA 24PK BT","101","678-556-100","VICTORIA 12OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","141","24 PACK (BEER)","146","> 3.2%","102","REGULAR",4,18,"294","24/12B","103","MULTI-PACK","122","OTHER PALE LAGERS","100","1 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
